"trial_type","trial_index","time_elapsed","internal_node_id","participant_name","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus","phase","deviceInfo","itemID","stimulus_type","correct_ans","list","content","sound1","sound2"
"html-keyboard-response","21","25944","0.0-9.0-5.1","Taro","","","","","","198","j","
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        音声の内容は「<strong>school</strong>」 
        </p>
    <p style=""width: 100%""> 
    違う訛りの英語発音であれば<span style=""background-color: yellow;"">[ F ]キー</span>を、同じ訛りの英語発音であれば <span style=""background-color: yellow;"">[ J ]キー</span>を<u>押してください</u>。
    </p>","practice","","1","EE","j","WIPI","school","stimuli/FAS_E5M-WIPI-01-01.wav","stimuli/FAS_E1M-WIPI-01-01.wav"
"html-button-response","22","27724","0.0-10.0","Taro","","","","","","1779","0","
    <h1 style = ""width:100%"">
    練習はこれで終わりです。
    </h1>
    <p>
    この時点でご質問等ありましたら、Webページを閉じずに、研究員にお尋ねください。

    実験の手順に関してご質問がないようでしたら、下のボタンを押すと、実験が始まります。
    </p>
    ","","","","","","","","",""
"html-keyboard-response","23","28727","0.0-11.0-0.0","Taro","","","","","","null","null","
    <h1 style= ""font-size: 50px"">
    +
    </h1>","","","","","","","","",""
"html-keyboard-response","24","29228","0.0-11.0-1.0","Taro","","","","","","null","null","
            <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
            音声の内容は「<strong>please</strong>」 
            </p>","","","","","","","","",""
"audio-keyboard-response","25","29990","0.0-11.0-2.0","Taro","","","","","","null","null","stimuli/word/FAS_E1M-PBKW-01-01.wav","","","","","","","","",""
"html-keyboard-response","26","30492","0.0-11.0-3.0","Taro","","","","","","null","null","
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        音声の内容は「<strong>please</strong>」 
        </p>","","","","","","","","",""
"audio-keyboard-response","27","31078","0.0-11.0-4.0","Taro","","","","","","null","null","stimuli/word/FAS_E5M-PBKW-01-01.wav","","","","","","","","",""
"html-keyboard-response","28","32111","0.0-11.0-5.0","Taro","","","","","","1032","j","
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        音声の内容は「<strong>please</strong>」 
        </p>
    <p style=""width: 100%""> 
    違う訛りの英語発音であれば<span style=""background-color: yellow;"">[ F ]キー</span>を、同じ訛りの英語発音であれば <span style=""background-color: yellow;"">[ J ]キー</span>を<u>押してください</u>。
    </p>","word","","1","EE","j","PBK","please","stimuli/word/FAS_E1M-PBKW-01-01.wav","stimuli/word/FAS_E5M-PBKW-01-01.wav"
"html-keyboard-response","29","33114","0.0-11.0-0.1","Taro","","","","","","null","null","
    <h1 style= ""font-size: 50px"">
    +
    </h1>","","","","","","","","",""
"html-keyboard-response","30","33616","0.0-11.0-1.1","Taro","","","","","","null","null","
            <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
            音声の内容は「<strong>great</strong>」 
            </p>","","","","","","","","",""
"audio-keyboard-response","31","34150","0.0-11.0-2.1","Taro","","","","","","null","null","stimuli/word/FAS_E5M-PBKW-01-02.wav","","","","","","","","",""
"html-keyboard-response","32","34652","0.0-11.0-3.1","Taro","","","","","","null","null","
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        音声の内容は「<strong>great</strong>」 
        </p>","","","","","","","","",""
"audio-keyboard-response","33","35153","0.0-11.0-4.1","Taro","","","","","","null","null","stimuli/word/FAS_E1M-PBKW-01-02.wav","","","","","","","","",""
"html-keyboard-response","34","37440","0.0-11.0-5.1","Taro","","","","","","2286","j","
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        音声の内容は「<strong>great</strong>」 
        </p>
    <p style=""width: 100%""> 
    違う訛りの英語発音であれば<span style=""background-color: yellow;"">[ F ]キー</span>を、同じ訛りの英語発音であれば <span style=""background-color: yellow;"">[ J ]キー</span>を<u>押してください</u>。
    </p>","word","","2","EE","j","PBK","great","stimuli/word/FAS_E5M-PBKW-01-02.wav","stimuli/word/FAS_E1M-PBKW-01-02.wav"
"html-button-response","35","39186","0.0-12.0","Taro","","","","","","1745","0","
    <h1>
    休憩のお時間です！お疲れ様です！
    </h1>
    <p style=""width:100%"">
    これまでの実験、いかがですか？

    大変かと思いますが、あと少しで終わります。

    少し体を動かしたり、水分補給をしたりして、５分以内の休憩を取りましょう。

    休憩が終わりましたら、下のボタンを押して、実験を続けてください。
    </p>
    ","","","","","","","","",""
"html-button-response","36","40835","0.0-13.0","Taro","","","","","","1649","0","
    <h1 style=""width:100%"">
    実験に戻りましょう！
    </h1>","","","","","","","","",""
"html-keyboard-response","37","41837","0.0-14.0-0.0","Taro","","","","","","null","null","
    <h1 style= ""font-size: 50px"">
    +
    </h1>","","","","","","","","",""
"html-keyboard-response","38","42339","0.0-14.0-1.0","Taro","","","","","","null","null","
            <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
            音声の内容は「<strong>The car engine is running.</strong>」 
            </p>","","","","","","","","",""
"audio-keyboard-response","39","43750","0.0-14.0-2.0","Taro","","","","","","null","null","stimuli/FAS_E1M-BKBR-01-02.wav","","","","","","","","",""
"html-keyboard-response","40","44253","0.0-14.0-3.0","Taro","","","","","","null","null","
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        音声の内容は「<strong>The car engine is running.</strong>」 
        </p>","","","","","","","","",""
"audio-keyboard-response","41","45841","0.0-14.0-4.0","Taro","","","","","","null","null","stimuli/FAS_E5M-BKBR-01-02.wav","","","","","","","","",""
"html-keyboard-response","42","46286","0.0-14.0-5.0","Taro","","","","","","444","j","
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        音声の内容は「<strong>The car engine is running.</strong>」 
        </p>
    <p style=""width: 100%""> 
    違う訛りの英語発音であれば<span style=""background-color: yellow;"">[ F ]キー</span>を、同じ訛りの英語発音であれば <span style=""background-color: yellow;"">[ J ]キー</span>を<u>押してください</u>。
    </p>","sentence","","2","EE","j","BKB","The car engine is running.","stimuli/FAS_E1M-BKBR-01-02.wav","stimuli/FAS_E5M-BKBR-01-02.wav"
"html-keyboard-response","43","47288","0.0-14.0-0.1","Taro","","","","","","null","null","
    <h1 style= ""font-size: 50px"">
    +
    </h1>","","","","","","","","",""
"html-keyboard-response","44","47790","0.0-14.0-1.1","Taro","","","","","","null","null","
            <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
            音声の内容は「<strong>The clown had a funny face.</strong>」 
            </p>","","","","","","","","",""
"audio-keyboard-response","45","49510","0.0-14.0-2.1","Taro","","","","","","null","null","stimuli/FAS_E1M-BKBR-01-01.wav","","","","","","","","",""
"html-keyboard-response","46","50011","0.0-14.0-3.1","Taro","","","","","","null","null","
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        音声の内容は「<strong>The clown had a funny face.</strong>」 
        </p>","","","","","","","","",""
"audio-keyboard-response","47","51644","0.0-14.0-4.1","Taro","","","","","","null","null","stimuli/FAS_E5M-BKBR-01-01.wav","","","","","","","","",""
"html-keyboard-response","48","53355","0.0-14.0-5.1","Taro","","","","","","1711","j","
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        音声の内容は「<strong>The clown had a funny face.</strong>」 
        </p>
    <p style=""width: 100%""> 
    違う訛りの英語発音であれば<span style=""background-color: yellow;"">[ F ]キー</span>を、同じ訛りの英語発音であれば <span style=""background-color: yellow;"">[ J ]キー</span>を<u>押してください</u>。
    </p>","sentence","","1","EE","j","BKB","The clown had a funny face.","stimuli/FAS_E1M-BKBR-01-01.wav","stimuli/FAS_E5M-BKBR-01-01.wav"
